Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
1961-03-20 06:00:01,1961-03-21 06:00:00,1961-03-20,11.4,Y
1961-03-21 06:00:01,1961-03-22 06:00:00,1961-03-21,0.1,Y
1961-03-22 06:00:01,1961-03-23 06:00:00,1961-03-22,5.8,Y
1961-03-23 06:00:01,1961-03-24 06:00:00,1961-03-23,0.0,Y
1961-03-24 06:00:01,1961-03-25 06:00:00,1961-03-24,0.0,Y
1961-03-25 06:00:01,1961-03-26 06:00:00,1961-03-25,0.0,Y
1961-03-26 06:00:01,1961-03-27 06:00:00,1961-03-26,1.3,Y
1961-03-27 06:00:01,1961-03-28 06:00:00,1961-03-27,0.0,Y
1961-03-28 06:00:01,1961-03-29 06:00:00,1961-03-28,1.6,Y
1961-03-29 06:00:01,1961-03-30 06:00:00,1961-03-29,6.2,Y
1961-03-30 06:00:01,1961-03-31 06:00:00,1961-03-30,0.0,Y
1961-03-31 06:00:01,1961-04-01 06:00:00,1961-03-31,0.0,Y
1961-04-01 06:00:01,1961-04-02 06:00:00,1961-04-01,0.0,Y
1961-04-02 06:00:01,1961-04-03 06:00:00,1961-04-02,0.0,Y
1961-04-03 06:00:01,1961-04-04 06:00:00,1961-04-03,9.2,Y
1961-04-04 06:00:01,1961-04-05 06:00:00,1961-04-04,0.0,Y
1961-04-05 06:00:01,1961-04-06 06:00:00,1961-04-05,10.2,Y
1961-04-06 06:00:01,1961-04-07 06:00:00,1961-04-06,7.7,Y
1961-04-07 06:00:01,1961-04-08 06:00:00,1961-04-07,0.0,Y
1961-04-08 06:00:01,1961-04-09 06:00:00,1961-04-08,0.0,Y
1961-04-09 06:00:01,1961-04-10 06:00:00,1961-04-09,0.0,Y
1961-04-10 06:00:01,1961-04-11 06:00:00,1961-04-10,0.0,Y
1961-04-11 06:00:01,1961-04-12 06:00:00,1961-04-11,0.4,Y
1961-04-12 06:00:01,1961-04-13 06:00:00,1961-04-12,1.7,Y
1961-04-13 06:00:01,1961-04-14 06:00:00,1961-04-13,5.8,Y
1961-04-14 06:00:01,1961-04-15 06:00:00,1961-04-14,0.6,Y
1961-04-15 06:00:01,1961-04-16 06:00:00,1961-04-15,0.0,Y
1961-04-16 06:00:01,1961-04-17 06:00:00,1961-04-16,0.0,Y
1961-04-17 06:00:01,1961-04-18 06:00:00,1961-04-17,0.0,Y
1961-04-18 06:00:01,1961-04-19 06:00:00,1961-04-18,0.0,Y
1961-04-19 06:00:01,1961-04-20 06:00:00,1961-04-19,0.0,Y
1961-04-20 06:00:01,1961-04-21 06:00:00,1961-04-20,0.0,Y
1961-04-21 06:00:01,1961-04-22 06:00:00,1961-04-21,0.0,Y
1961-04-22 06:00:01,1961-04-23 06:00:00,1961-04-22,0.0,Y
1961-04-23 06:00:01,1961-04-24 06:00:00,1961-04-23,0.0,Y
1961-04-24 06:00:01,1961-04-25 06:00:00,1961-04-24,0.0,Y
1961-04-25 06:00:01,1961-04-26 06:00:00,1961-04-25,0.0,Y
1961-04-26 06:00:01,1961-04-27 06:00:00,1961-04-26,0.0,Y
1961-04-27 06:00:01,1961-04-28 06:00:00,1961-04-27,0.0,Y
1961-04-28 06:00:01,1961-04-29 06:00:00,1961-04-28,0.0,Y
1961-04-29 06:00:01,1961-04-30 06:00:00,1961-04-29,0.0,Y
1961-04-30 06:00:01,1961-05-01 06:00:00,1961-04-30,0.0,Y
1961-05-01 06:00:01,1961-05-02 06:00:00,1961-05-01,0.0,Y
1961-05-02 06:00:01,1961-05-03 06:00:00,1961-05-02,2.0,Y
1961-05-03 06:00:01,1961-05-04 06:00:00,1961-05-03,0.1,Y
1961-05-04 06:00:01,1961-05-05 06:00:00,1961-05-04,0.0,Y
1961-05-05 06:00:01,1961-05-06 06:00:00,1961-05-05,1.6,Y
1961-05-06 06:00:01,1961-05-07 06:00:00,1961-05-06,0.3,Y
1961-05-07 06:00:01,1961-05-08 06:00:00,1961-05-07,7.0,Y
1961-05-08 06:00:01,1961-05-09 06:00:00,1961-05-08,0.0,Y
1961-05-09 06:00:01,1961-05-10 06:00:00,1961-05-09,0.0,Y
1961-05-10 06:00:01,1961-05-11 06:00:00,1961-05-10,0.0,Y
1961-05-11 06:00:01,1961-05-12 06:00:00,1961-05-11,0.0,Y
1961-05-12 06:00:01,1961-05-13 06:00:00,1961-05-12,0.0,Y
1961-05-13 06:00:01,1961-05-14 06:00:00,1961-05-13,4.8,Y
1961-05-14 06:00:01,1961-05-15 06:00:00,1961-05-14,0.0,Y
1961-05-15 06:00:01,1961-05-16 06:00:00,1961-05-15,0.3,Y
1961-05-16 06:00:01,1961-05-17 06:00:00,1961-05-16,0.0,Y
1961-05-17 06:00:01,1961-05-18 06:00:00,1961-05-17,0.0,Y
1961-05-18 06:00:01,1961-05-19 06:00:00,1961-05-18,0.0,Y
1961-05-19 06:00:01,1961-05-20 06:00:00,1961-05-19,2.0,Y
1961-05-20 06:00:01,1961-05-21 06:00:00,1961-05-20,0.0,Y
1961-05-21 06:00:01,1961-05-22 06:00:00,1961-05-21,0.0,Y
1961-05-22 06:00:01,1961-05-23 06:00:00,1961-05-22,0.0,Y
1961-05-23 06:00:01,1961-05-24 06:00:00,1961-05-23,0.0,Y
1961-05-24 06:00:01,1961-05-25 06:00:00,1961-05-24,0.0,Y
1961-05-25 06:00:01,1961-05-26 06:00:00,1961-05-25,0.0,Y
1961-05-26 06:00:01,1961-05-27 06:00:00,1961-05-26,0.0,Y
1961-05-27 06:00:01,1961-05-28 06:00:00,1961-05-27,0.0,Y
1961-05-28 06:00:01,1961-05-29 06:00:00,1961-05-28,0.0,Y
1961-05-29 06:00:01,1961-05-30 06:00:00,1961-05-29,0.0,Y
1961-05-30 06:00:01,1961-05-31 06:00:00,1961-05-30,2.0,Y
1961-05-31 06:00:01,1961-06-01 06:00:00,1961-05-31,6.1,Y
1961-06-01 06:00:01,1961-06-02 06:00:00,1961-06-01,13.0,Y
1961-06-02 06:00:01,1961-06-03 06:00:00,1961-06-02,0.0,Y
1961-06-03 06:00:01,1961-06-04 06:00:00,1961-06-03,0.0,Y
1961-06-04 06:00:01,1961-06-05 06:00:00,1961-06-04,0.0,Y
1961-06-05 06:00:01,1961-06-06 06:00:00,1961-06-05,0.0,Y
1961-06-06 06:00:01,1961-06-07 06:00:00,1961-06-06,0.0,Y
1961-06-07 06:00:01,1961-06-08 06:00:00,1961-06-07,0.4,Y
1961-06-08 06:00:01,1961-06-09 06:00:00,1961-06-08,0.0,Y
1961-06-09 06:00:01,1961-06-10 06:00:00,1961-06-09,0.0,Y
1961-06-10 06:00:01,1961-06-11 06:00:00,1961-06-10,0.0,Y
1961-06-11 06:00:01,1961-06-12 06:00:00,1961-06-11,0.0,Y
1961-06-12 06:00:01,1961-06-13 06:00:00,1961-06-12,11.6,Y
1961-06-13 06:00:01,1961-06-14 06:00:00,1961-06-13,0.0,Y
1961-06-14 06:00:01,1961-06-15 06:00:00,1961-06-14,2.0,Y
1961-06-15 06:00:01,1961-06-16 06:00:00,1961-06-15,0.0,Y
1961-06-16 06:00:01,1961-06-17 06:00:00,1961-06-16,0.0,Y
1961-06-17 06:00:01,1961-06-18 06:00:00,1961-06-17,15.0,Y
1961-06-18 06:00:01,1961-06-19 06:00:00,1961-06-18,4.0,Y
1961-06-19 06:00:01,1961-06-20 06:00:00,1961-06-19,0.0,Y
1961-06-20 06:00:01,1961-06-21 06:00:00,1961-06-20,0.0,Y
1961-06-21 06:00:01,1961-06-22 06:00:00,1961-06-21,0.6,Y
1961-06-22 06:00:01,1961-06-23 06:00:00,1961-06-22,0.1,Y
1961-06-23 06:00:01,1961-06-24 06:00:00,1961-06-23,0.7,Y
1961-06-24 06:00:01,1961-06-25 06:00:00,1961-06-24,5.0,Y
1961-06-25 06:00:01,1961-06-26 06:00:00,1961-06-25,1.7,Y
1961-06-26 06:00:01,1961-06-27 06:00:00,1961-06-26,6.6,Y
1961-06-27 06:00:01,1961-06-28 06:00:00,1961-06-27,7.0,Y
1961-06-28 06:00:01,1961-06-29 06:00:00,1961-06-28,0.0,Y
1961-06-29 06:00:01,1961-06-30 06:00:00,1961-06-29,0.0,Y
1961-06-30 06:00:01,1961-07-01 06:00:00,1961-06-30,0.0,Y
1961-07-01 06:00:01,1961-07-02 06:00:00,1961-07-01,0.0,Y
1961-07-02 06:00:01,1961-07-03 06:00:00,1961-07-02,0.5,Y
1961-07-03 06:00:01,1961-07-04 06:00:00,1961-07-03,0.2,Y
1961-07-04 06:00:01,1961-07-05 06:00:00,1961-07-04,10.8,Y
1961-07-05 06:00:01,1961-07-06 06:00:00,1961-07-05,0.4,Y
1961-07-06 06:00:01,1961-07-07 06:00:00,1961-07-06,0.1,Y
1961-07-07 06:00:01,1961-07-08 06:00:00,1961-07-07,0.0,Y
1961-07-08 06:00:01,1961-07-09 06:00:00,1961-07-08,3.7,Y
1961-07-09 06:00:01,1961-07-10 06:00:00,1961-07-09,14.0,Y
1961-07-10 06:00:01,1961-07-11 06:00:00,1961-07-10,12.1,Y
1961-07-11 06:00:01,1961-07-12 06:00:00,1961-07-11,0.0,Y
1961-07-12 06:00:01,1961-07-13 06:00:00,1961-07-12,0.0,Y
1961-07-13 06:00:01,1961-07-14 06:00:00,1961-07-13,4.8,Y
1961-07-14 06:00:01,1961-07-15 06:00:00,1961-07-14,11.9,Y
1961-07-15 06:00:01,1961-07-16 06:00:00,1961-07-15,0.0,Y
1961-07-16 06:00:01,1961-07-17 06:00:00,1961-07-16,2.1,Y
1961-07-17 06:00:01,1961-07-18 06:00:00,1961-07-17,3.0,Y
1961-07-18 06:00:01,1961-07-19 06:00:00,1961-07-18,4.0,Y
1961-07-19 06:00:01,1961-07-20 06:00:00,1961-07-19,5.1,Y
1961-07-20 06:00:01,1961-07-21 06:00:00,1961-07-20,5.1,Y
1961-07-21 06:00:01,1961-07-22 06:00:00,1961-07-21,0.0,Y
1961-07-22 06:00:01,1961-07-23 06:00:00,1961-07-22,0.0,Y
1961-07-23 06:00:01,1961-07-24 06:00:00,1961-07-23,0.0,Y
1961-07-24 06:00:01,1961-07-25 06:00:00,1961-07-24,0.0,Y
1961-07-25 06:00:01,1961-07-26 06:00:00,1961-07-25,4.1,Y
1961-07-26 06:00:01,1961-07-27 06:00:00,1961-07-26,7.9,Y
1961-07-27 06:00:01,1961-07-28 06:00:00,1961-07-27,2.6,Y
1961-07-28 06:00:01,1961-07-29 06:00:00,1961-07-28,1.8,Y
1961-07-29 06:00:01,1961-07-30 06:00:00,1961-07-29,0.0,Y
1961-07-30 06:00:01,1961-07-31 06:00:00,1961-07-30,0.0,Y
1961-07-31 06:00:01,1961-08-01 06:00:00,1961-07-31,0.0,Y
1961-08-01 06:00:01,1961-08-02 06:00:00,1961-08-01,1.0,Y
1961-08-02 06:00:01,1961-08-03 06:00:00,1961-08-02,0.0,Y
1961-08-03 06:00:01,1961-08-04 06:00:00,1961-08-03,1.0,Y
1961-08-04 06:00:01,1961-08-05 06:00:00,1961-08-04,12.4,Y
1961-08-05 06:00:01,1961-08-06 06:00:00,1961-08-05,7.0,Y
1961-08-06 06:00:01,1961-08-07 06:00:00,1961-08-06,0.6,Y
1961-08-07 06:00:01,1961-08-08 06:00:00,1961-08-07,1.2,Y
1961-08-08 06:00:01,1961-08-09 06:00:00,1961-08-08,0.6,Y
1961-08-09 06:00:01,1961-08-10 06:00:00,1961-08-09,0.0,Y
1961-08-10 06:00:01,1961-08-11 06:00:00,1961-08-10,0.5,Y
1961-08-11 06:00:01,1961-08-12 06:00:00,1961-08-11,0.0,Y
1961-08-12 06:00:01,1961-08-13 06:00:00,1961-08-12,0.0,Y
1961-08-13 06:00:01,1961-08-14 06:00:00,1961-08-13,1.0,Y
1961-08-14 06:00:01,1961-08-15 06:00:00,1961-08-14,22.7,Y
1961-08-15 06:00:01,1961-08-16 06:00:00,1961-08-15,0.3,Y
1961-08-16 06:00:01,1961-08-17 06:00:00,1961-08-16,0.5,Y
1961-08-17 06:00:01,1961-08-18 06:00:00,1961-08-17,1.5,Y
1961-08-18 06:00:01,1961-08-19 06:00:00,1961-08-18,0.0,Y
1961-08-19 06:00:01,1961-08-20 06:00:00,1961-08-19,0.0,Y
1961-08-20 06:00:01,1961-08-21 06:00:00,1961-08-20,0.0,Y
1961-08-21 06:00:01,1961-08-22 06:00:00,1961-08-21,16.0,Y
1961-08-22 06:00:01,1961-08-23 06:00:00,1961-08-22,2.0,Y
1961-08-23 06:00:01,1961-08-24 06:00:00,1961-08-23,0.0,Y
1961-08-24 06:00:01,1961-08-25 06:00:00,1961-08-24,0.0,Y
1961-08-25 06:00:01,1961-08-26 06:00:00,1961-08-25,3.5,Y
1961-08-26 06:00:01,1961-08-27 06:00:00,1961-08-26,5.2,Y
1961-08-27 06:00:01,1961-08-28 06:00:00,1961-08-27,0.0,Y
1961-08-28 06:00:01,1961-08-29 06:00:00,1961-08-28,0.0,Y
1961-08-29 06:00:01,1961-08-30 06:00:00,1961-08-29,0.0,Y
1961-08-30 06:00:01,1961-08-31 06:00:00,1961-08-30,0.0,Y
1961-08-31 06:00:01,1961-09-01 06:00:00,1961-08-31,0.0,Y
1961-09-01 06:00:01,1961-09-02 06:00:00,1961-09-01,0.0,Y
1961-09-02 06:00:01,1961-09-03 06:00:00,1961-09-02,0.0,Y
1961-09-03 06:00:01,1961-09-04 06:00:00,1961-09-03,0.4,Y
1961-09-04 06:00:01,1961-09-05 06:00:00,1961-09-04,0.0,Y
1961-09-05 06:00:01,1961-09-06 06:00:00,1961-09-05,10.8,Y
