index,Year,Month,Kvalitet,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
179,1958,12,Y,3.47,18.9
180,1959,1,Y,2.49,28.0
181,1959,2,Y,0.41,3.8
182,1959,3,Y,1.38,17.1
183,1959,4,Y,3.01,18.5
184,1959,5,Y,1.1,16.7
185,1959,6,Y,0.99,8.9
186,1959,7,Y,1.25,9.1
187,1959,8,Y,0.4,6.1
188,1959,9,Y,1.39,20.2
189,1959,10,Y,2.6,27.1
190,1959,11,Y,2.08,23.6
191,1959,12,Y,2.31,13.3
192,1960,1,Y,4.51,23.6
193,1960,2,Y,1.26,9.4
194,1960,3,Y,0.59,7.9
195,1960,4,Y,1.03,11.0
196,1960,5,Y,0.76,12.6
197,1960,6,Y,2.77,32.1
198,1960,7,Y,3.64,19.0
199,1960,8,Y,2.69,14.2
200,1960,9,Y,1.88,43.5
201,1960,10,Y,1.21,8.4
202,1960,11,Y,3.8,14.4
203,1960,12,Y,3.33,22.3
204,1961,1,Y,1.42,13.8
205,1961,2,Y,1.4,11.0
206,1961,3,Y,0.78,7.2
207,1961,4,Y,1.21,12.4
208,1961,5,Y,0.98,8.2
209,1961,6,Y,1.84,11.0
210,1961,7,Y,1.96,11.3
211,1961,8,Y,1.91,13.7
212,1961,9,Y,2.4,13.3
213,1961,10,Y,2.59,14.9
214,1961,11,Y,2.09,10.8
215,1961,12,Y,1.64,14.9
216,1962,1,Y,2.43,14.6
217,1962,2,Y,2.11,14.6
218,1962,3,Y,1.13,11.5
219,1962,4,Y,1.44,17.6
220,1962,5,Y,1.95,9.4
221,1962,6,Y,1.1,8.6
222,1962,7,Y,2.41,14.1
223,1962,8,Y,6.4,25.0
224,1962,9,Y,2.93,25.9
225,1962,10,Y,2.3,24.2
226,1962,11,Y,1.99,25.6
227,1962,12,Y,1.51,15.0
228,1963,1,Y,0.25,4.0
229,1963,2,Y,0.32,5.3
230,1963,3,Y,1.48,16.7
231,1963,4,Y,0.85,10.9
232,1963,5,Y,1.62,14.7
233,1963,6,Y,1.52,21.0
234,1963,7,Y,3.12,32.5
235,1963,8,Y,5.14,29.7
236,1963,9,Y,2.16,12.9
237,1963,10,Y,3.54,30.0
238,1963,11,Y,4.45,23.5
239,1963,12,Y,1.12,13.1
240,1964,1,Y,0.73,6.4
241,1964,2,Y,0.71,4.8
242,1964,3,Y,0.02,0.6
243,1964,4,Y,1.36,19.8
244,1964,5,Y,1.3,10.0
245,1964,6,Y,3.02,28.2
246,1964,7,Y,3.25,22.6
247,1964,8,Y,0.71,8.7
248,1964,9,Y,1.77,15.2
249,1964,10,Y,4.63,22.8
250,1964,11,Y,1.67,10.6
251,1964,12,Y,3.87,18.0
252,1965,1,Y,1.84,10.2
253,1965,2,Y,0.41,4.0
254,1965,3,Y,0.75,5.1
255,1965,4,Y,1.51,9.3
256,1965,5,Y,0.95,11.2
257,1965,6,Y,2.49,17.6
258,1965,7,Y,3.42,26.4
259,1965,8,Y,2.76,16.0
260,1965,9,Y,3.63,24.0
261,1965,10,Y,1.3,18.3
262,1965,11,Y,1.63,16.6
263,1965,12,Y,2.78,17.5
264,1966,1,Y,1.18,14.2
265,1966,2,Y,2.66,11.6
266,1966,3,Y,2.51,16.1
267,1966,4,Y,1.16,12.7
268,1966,5,Y,0.91,8.4
269,1966,6,Y,1.58,12.0
270,1966,7,Y,1.63,20.5
271,1966,8,Y,2.77,16.4
272,1966,9,Y,1.63,9.5
273,1966,10,Y,2.41,15.0
274,1966,11,Y,3.17,23.1
275,1966,12,Y,3.7,21.1
276,1967,1,Y,2.84,20.5
277,1967,2,Y,3.09,24.5
278,1967,3,Y,2.09,14.6
279,1967,4,Y,1.95,19.1
280,1967,5,Y,1.85,13.5
281,1967,6,Y,1.41,12.4
282,1967,7,Y,1.77,21.2
283,1967,8,Y,2.63,29.2
284,1967,9,Y,3.03,17.5
285,1967,10,Y,7.11,34.8
286,1967,11,Y,2.0,17.5
287,1967,12,Y,2.35,24.9
288,1968,1,Y,2.16,17.3
289,1968,2,Y,0.96,7.0
290,1968,3,Y,2.13,10.7
291,1968,4,Y,1.54,16.4
292,1968,5,Y,1.55,16.1
293,1968,6,Y,2.0,10.9
294,1968,7,Y,1.96,22.0
295,1968,8,Y,1.65,17.0
296,1968,9,Y,2.95,41.9
297,1968,10,Y,3.47,27.9
298,1968,11,Y,2.17,18.3
299,1968,12,Y,1.75,21.5
300,1969,1,Y,3.14,14.7
301,1969,2,Y,0.88,5.1
302,1969,3,Y,0.54,10.1
303,1969,4,Y,1.12,7.1
304,1969,5,Y,4.07,37.0
305,1969,6,Y,1.47,21.7
306,1969,7,Y,1.63,15.5
307,1969,8,Y,1.95,11.9
308,1969,9,Y,1.78,12.1
309,1969,10,Y,0.9,11.7
310,1969,11,Y,2.87,13.0
311,1969,12,Y,0.87,11.0
312,1970,1,Y,0.65,10.1
313,1970,2,Y,1.61,20.1
314,1970,3,Y,2.09,19.1
315,1970,4,Y,2.05,10.8
316,1970,5,Y,0.96,9.0
317,1970,6,Y,3.12,25.8
318,1970,7,Y,3.13,14.6
319,1970,8,Y,1.89,21.3
320,1970,9,Y,3.08,22.9
321,1970,10,G,3.12,15.5
322,1970,11,Y,2.69,15.8
323,1970,12,Y,1.03,11.2
324,1971,1,Y,2.03,13.6
325,1971,2,Y,1.18,11.0
326,1971,3,Y,1.98,13.4
327,1971,4,Y,1.44,15.2
328,1971,5,Y,1.02,11.1
329,1971,6,Y,2.41,46.5
330,1971,7,Y,2.3,15.4
331,1971,8,Y,3.85,44.0
332,1971,9,Y,2.93,33.1
333,1971,10,Y,2.16,18.4
334,1971,11,Y,2.97,22.2
335,1971,12,Y,1.3,10.9
336,1972,1,Y,0.91,5.5
337,1972,2,Y,0.7,4.9
338,1972,3,Y,0.92,6.5
339,1972,4,Y,2.29,15.3
340,1972,5,Y,3.14,37.0
341,1972,6,Y,3.45,19.9
342,1972,7,Y,3.53,18.8
343,1972,8,Y,1.15,8.3
344,1972,9,Y,0.66,6.1
345,1972,10,Y,1.0,9.8
346,1972,11,Y,2.1,11.7
347,1972,12,Y,3.15,19.2
348,1973,1,Y,2.21,12.7
349,1973,2,Y,1.76,22.8
350,1973,3,Y,0.57,6.3
351,1973,4,Y,2.12,17.9
352,1973,5,Y,1.73,13.7
353,1973,6,Y,0.86,10.6
354,1973,7,Y,0.77,6.0
355,1973,8,Y,2.05,15.9
356,1973,9,Y,2.51,15.5
357,1973,10,Y,1.13,13.8
358,1973,11,Y,3.08,17.0
359,1973,12,Y,2.43,13.8
360,1974,1,Y,2.55,14.0
361,1974,2,Y,1.51,11.0
362,1974,3,Y,0.6,5.8
363,1974,4,Y,0.0,0.0
364,1974,5,Y,0.91,11.2
365,1974,6,Y,1.12,15.5
366,1974,7,Y,1.68,16.6
367,1974,8,Y,2.13,14.7
368,1974,9,Y,4.96,22.6
369,1974,10,Y,1.73,12.7
370,1974,11,Y,3.93,23.9
371,1974,12,Y,2.82,16.8
372,1975,1,Y,3.34,19.6
373,1975,2,Y,0.26,3.9
374,1975,3,Y,0.65,6.2
375,1975,4,Y,1.4,9.6
376,1975,5,Y,1.19,15.5
377,1975,6,Y,0.77,13.2
378,1975,7,Y,3.43,27.3
379,1975,8,Y,1.25,17.9
380,1975,9,Y,3.9,24.5
381,1975,10,Y,1.32,11.7
382,1975,11,Y,2.52,21.9
383,1975,12,Y,1.52,28.9
384,1976,1,Y,1.51,11.5
385,1976,2,Y,0.77,8.6
386,1976,3,Y,0.51,6.1
387,1976,4,Y,0.69,5.8
388,1976,5,Y,1.65,13.4
389,1976,6,Y,0.96,8.1
390,1976,7,Y,0.52,7.8
391,1976,8,Y,0.22,2.8
392,1976,9,Y,1.84,20.7
393,1976,10,Y,3.26,17.5
394,1976,11,Y,3.43,23.3
395,1976,12,Y,3.07,15.8
396,1977,1,G,3.16,11.8
397,1977,2,G,1.7,12.5
398,1977,3,G,2.61,17.6
399,1977,4,G,2.77,21.9
400,1977,5,G,1.36,12.2
401,1977,6,G,2.19,31.9
402,1977,7,G,2.22,27.8
403,1977,8,G,0.45,5.4
404,1977,9,Y,3.09,20.0
405,1977,10,G,2.59,24.0
406,1977,11,G,3.99,21.0
407,1977,12,G,1.7,22.2
408,1978,1,G,1.31,9.3
409,1978,2,G,1.04,8.0
410,1978,3,G,3.82,20.2
411,1978,4,G,0.49,6.4
412,1978,5,G,0.63,7.1
413,1978,6,G,1.93,13.6
414,1978,7,G,0.92,6.3
415,1978,8,G,3.48,30.2
416,1978,9,G,4.24,16.9
417,1978,10,G,1.04,12.1
418,1978,11,G,2.34,15.6
419,1978,12,G,0.83,9.2
420,1979,1,G,1.33,14.7
421,1979,2,G,0.41,3.5
422,1979,3,G,2.28,16.3
423,1979,4,G,1.79,11.6
424,1979,5,G,2.88,16.5
425,1979,6,G,1.35,14.1
426,1979,7,G,1.79,17.8
427,1979,8,G,3.12,38.5
428,1979,9,G,3.05,22.2
429,1979,10,G,1.75,17.7
430,1979,11,G,5.43,38.4
431,1979,12,G,3.01,30.0
432,1980,1,G,0.93,6.6
433,1980,2,G,0.92,9.1
434,1980,3,G,0.61,10.1
435,1980,4,G,0.22,2.5
436,1980,5,G,1.14,17.6
437,1980,6,G,3.46,18.3
438,1980,7,G,2.28,16.5
439,1980,8,G,3.3,20.8
440,1980,9,G,2.64,28.7
441,1980,10,G,3.38,14.8
442,1980,11,G,3.06,27.6
443,1980,12,G,4.7,46.4
444,1981,1,G,1.16,20.8
445,1981,2,G,1.5,15.5
446,1981,3,G,2.87,18.7
447,1981,4,G,0.37,10.3
448,1981,5,G,1.82,18.6
449,1981,6,G,3.26,14.0
450,1981,7,G,2.3,16.0
451,1981,8,G,0.78,16.7
452,1981,9,G,1.67,15.7
453,1981,10,G,4.75,28.2
454,1981,11,G,5.63,39.5
455,1981,12,G,0.79,5.4
456,1982,1,G,1.57,14.0
457,1982,2,G,1.06,9.8
458,1982,3,G,1.91,13.0
459,1982,4,G,0.87,10.0
460,1982,5,G,2.6,19.9
461,1982,6,G,1.91,30.2
462,1982,7,G,0.71,17.6
463,1982,8,G,3.56,21.0
464,1982,9,G,2.42,24.0
465,1982,10,G,2.66,24.1
466,1982,11,G,4.01,25.1
467,1982,12,G,3.26,18.8
468,1983,1,G,2.96,11.9
469,1983,2,G,1.11,12.2
470,1983,3,G,2.17,10.1
471,1983,4,G,2.07,21.6
472,1983,5,G,2.69,20.2
473,1983,6,G,1.37,12.3
474,1983,7,G,2.02,35.8
475,1983,8,G,0.69,16.5
476,1983,9,G,4.48,28.3
477,1983,10,G,2.36,13.1
478,1983,11,G,1.47,14.1
479,1983,12,G,2.36,13.9
480,1984,1,G,3.79,19.8
481,1984,2,G,1.14,13.9
482,1984,3,G,0.58,4.0
483,1984,4,G,0.76,7.4
484,1984,5,G,1.94,22.3
485,1984,6,G,2.47,26.6
486,1984,7,G,1.7,16.7
487,1984,8,G,1.65,12.2
488,1984,9,Y,3.22,16.2
489,1984,10,G,4.78,30.8
490,1984,11,G,2.17,13.9
491,1984,12,G,2.45,21.1
