Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1974,7,17.9,Y,1.69,17.9
1974,8,12.5,Y,1.94,12.5
1974,9,21.3,Y,5.26,21.3
1974,10,10.6,Y,1.97,10.6
1974,11,22.0,Y,3.7,22.0
1974,12,16.2,Y,3.46,16.2
1975,1,19.8,Y,3.56,19.8
1975,2,8.0,Y,0.36,8.0
1975,3,6.1,Y,0.68,6.1
1975,4,9.9,Y,1.7,9.9
1975,5,7.5,Y,0.82,7.5
1975,6,15.2,Y,1.01,15.2
1975,7,15.3,Y,2.56,15.3
1975,8,15.5,Y,1.43,15.5
1975,9,21.2,Y,3.1,21.2
1975,10,17.4,Y,1.52,17.4
1975,11,16.0,Y,2.1,16.0
1975,12,30.1,Y,1.88,30.1
1976,1,11.6,Y,1.87,11.6
1976,2,10.8,Y,0.82,10.8
1976,3,8.0,Y,0.71,8.0
1976,4,3.4,Y,0.53,3.4
1976,5,10.6,Y,1.34,10.6
1976,6,7.9,Y,0.78,7.9
1976,7,8.1,Y,0.75,8.1
1976,8,3.0,Y,0.3,3.0
1976,9,42.4,Y,2.69,42.4
1995,9,25.4,G,3.18,25.4
1995,10,25.5,G,2.68,25.5
1995,11,22.0,G,1.83,22.0
1995,12,6.2,G,0.67,6.2
1996,1,2.4,G,0.23,2.4
1996,2,14.9,G,1.21,14.9
1996,3,9.4,G,0.55,9.4
1996,4,16.1,G,0.78,16.1
1996,5,17.1,G,3.1,17.1
1996,6,19.0,G,1.27,19.0
1996,7,10.7,G,0.79,10.7
1996,8,13.0,G,1.35,13.0
1996,9,18.6,G,2.5,18.6
1996,10,18.0,G,2.51,18.0
1996,11,19.0,G,3.25,19.0
1996,12,17.6,G,1.1,17.6
1997,1,11.0,G,0.94,11.0
1997,2,13.6,G,3.44,13.6
1997,3,17.5,G,1.17,17.5
1997,4,13.5,G,1.26,13.5
1997,5,16.4,G,2.09,16.4
1997,6,21.4,G,1.83,21.4
1997,7,18.6,G,2.18,18.6
1997,8,85.7,G,5.06,85.7
1997,9,14.0,G,1.76,14.0
1997,10,17.5,G,1.74,17.5
1997,11,10.6,G,1.0,10.6
1997,12,14.3,G,2.84,14.3
1998,1,14.5,G,2.05,14.5
1998,2,15.0,G,2.67,15.0
1998,3,17.5,G,1.4,17.5
1998,4,23.3,G,2.15,23.3
1998,5,12.2,G,1.12,12.2
1999,3,11.4,G,3.18,11.4
1999,4,33.8,G,3.0,33.8
1999,5,10.6,G,1.74,10.6
1999,6,32.2,G,4.92,32.2
1999,7,28.2,G,2.42,28.2
1999,8,9.6,G,1.62,9.6
1999,9,20.4,G,3.4,20.4
1999,10,30.4,G,3.11,30.4
1999,11,8.2,G,0.99,8.2
1999,12,27.9,G,6.47,27.9
2000,1,18.3,G,2.11,18.3
2000,2,20.0,G,3.48,20.0
2000,3,11.4,G,1.24,11.4
2000,4,22.9,G,2.87,22.9
2000,5,25.5,G,3.12,25.5
2000,6,8.9,G,2.06,8.9
2000,7,13.6,G,2.42,13.6
2000,8,8.6,G,1.36,8.6
2000,9,11.5,G,0.84,11.5
2000,10,53.1,G,5.94,53.1
2000,11,28.4,G,5.98,28.4
2000,12,23.3,G,4.33,23.3
2001,1,12.7,G,1.65,12.7
2001,2,19.2,G,1.85,19.2
2001,3,16.0,G,1.75,16.0
2001,4,21.6,G,2.52,21.6
2001,5,9.1,G,0.94,9.1
2001,6,23.0,G,2.09,23.0
2001,7,23.5,G,2.45,23.5
2001,8,15.2,G,2.07,15.2
2001,9,14.7,G,2.55,14.7
2001,10,33.3,G,3.17,33.3
2001,11,16.5,G,1.49,16.5
2001,12,7.2,G,1.3,7.2
2002,1,19.4,G,4.93,19.4
2002,2,20.0,G,3.4,20.0
2002,3,9.0,G,1.55,9.0
2002,4,15.7,G,0.91,15.7
2002,5,11.9,G,2.29,11.9
2002,6,20.3,G,3.88,20.3
2002,7,25.3,G,3.27,25.3
2002,8,11.8,G,1.14,11.8
2002,9,6.2,G,0.55,6.2
2002,10,20.5,G,2.79,20.5
2002,11,15.7,G,2.74,15.7
2002,12,4.5,G,0.51,4.5
2003,1,14.4,G,2.27,14.4
2003,2,16.4,G,1.2,16.4
2003,3,8.8,G,0.67,8.8
2003,4,23.0,G,3.19,23.0
2003,5,10.8,G,2.49,10.8
2003,6,18.6,G,2.13,18.6
2003,7,41.5,G,4.61,41.5
2003,8,10.4,G,1.04,10.4
2003,9,6.7,G,0.84,6.7
2003,10,32.0,G,3.27,32.0
2003,11,18.0,G,2.53,18.0
2003,12,24.5,G,3.85,24.5
2004,1,19.4,G,2.11,19.4
2004,2,13.8,G,1.31,13.8
2004,3,15.5,G,1.98,15.5
2004,4,8.8,G,1.18,8.8
2004,5,9.6,G,0.86,9.6
2004,6,14.5,G,2.78,14.5
2004,7,23.6,G,3.15,23.6
2004,8,23.1,G,4.12,23.1
2004,9,36.6,G,3.32,36.6
2004,10,20.9,G,3.69,20.9
2004,11,19.7,G,2.74,19.7
2004,12,19.2,G,2.44,19.2
2005,1,19.1,G,4.07,19.1
2005,2,10.1,G,1.54,10.1
2005,3,11.1,G,1.34,11.1
2005,4,7.9,G,0.84,7.9
2005,5,15.6,G,1.27,15.6
2005,6,27.4,G,2.44,27.4
2005,7,29.8,G,3.44,29.8
2005,8,16.1,G,2.69,16.1
2005,9,21.3,G,1.99,21.3
