Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1957,6,25.0,Y,2.23,25.0
1957,7,23.4,Y,2.52,23.4
1957,8,17.3,Y,3.14,17.3
1957,9,25.8,Y,3.27,25.8
1957,10,9.6,Y,2.42,9.6
1957,11,10.8,Y,0.96,10.8
1957,12,10.6,Y,1.14,10.6
1958,1,8.4,Y,1.29,8.4
1958,2,12.9,Y,2.25,12.9
1958,3,1.9,Y,0.24,1.9
1958,4,7.2,Y,1.0,7.2
1958,5,7.7,Y,1.29,7.7
1958,6,11.3,Y,1.18,11.3
1958,7,46.4,Y,3.36,46.4
1958,8,20.5,Y,2.83,20.5
1958,9,7.4,Y,0.63,7.4
1958,10,14.3,Y,1.66,14.3
1958,11,19.8,Y,2.13,19.8
1958,12,18.9,Y,3.47,18.9
1959,1,28.0,Y,2.49,28.0
1959,2,3.8,Y,0.41,3.8
1959,3,17.1,Y,1.38,17.1
1959,4,18.5,Y,3.01,18.5
1959,5,16.7,Y,1.1,16.7
1959,6,8.9,Y,0.99,8.9
1959,7,9.1,Y,1.25,9.1
1959,8,6.1,Y,0.4,6.1
1959,9,20.2,Y,1.39,20.2
1959,10,27.1,Y,2.6,27.1
1959,11,23.6,Y,2.08,23.6
1959,12,13.3,Y,2.31,13.3
1960,1,23.6,Y,4.51,23.6
1960,2,9.4,Y,1.26,9.4
1960,3,7.9,Y,0.59,7.9
1960,4,11.0,Y,1.03,11.0
1960,5,12.6,Y,0.76,12.6
1960,6,32.1,Y,2.77,32.1
1960,7,19.0,Y,3.64,19.0
1960,8,14.2,Y,2.69,14.2
1960,9,43.5,Y,1.88,43.5
1960,10,8.4,Y,1.21,8.4
1960,11,14.4,Y,3.8,14.4
1960,12,22.3,Y,3.33,22.3
1961,1,13.8,Y,1.42,13.8
1961,2,11.0,Y,1.4,11.0
1961,3,7.2,Y,0.78,7.2
1961,4,12.4,Y,1.21,12.4
1961,5,8.2,Y,0.98,8.2
1961,6,11.0,Y,1.84,11.0
1961,7,11.3,Y,1.96,11.3
1961,8,13.7,Y,1.91,13.7
1961,9,13.3,Y,2.4,13.3
1961,10,14.9,Y,2.59,14.9
1961,11,10.8,Y,2.09,10.8
1961,12,14.9,Y,1.64,14.9
1962,1,14.6,Y,2.43,14.6
1962,2,14.6,Y,2.11,14.6
1962,3,11.5,Y,1.13,11.5
1962,4,17.6,Y,1.44,17.6
1962,5,9.4,Y,1.95,9.4
1962,6,8.6,Y,1.1,8.6
1962,7,14.1,Y,2.41,14.1
1962,8,25.0,Y,6.4,25.0
1962,9,25.9,Y,2.93,25.9
1962,10,24.2,Y,2.3,24.2
1962,11,25.6,Y,1.99,25.6
1962,12,15.0,Y,1.51,15.0
1963,1,4.0,Y,0.25,4.0
1963,2,5.3,Y,0.32,5.3
1963,3,16.7,Y,1.48,16.7
1963,4,10.9,Y,0.85,10.9
1963,5,14.7,Y,1.62,14.7
1963,6,21.0,Y,1.52,21.0
1963,7,32.5,Y,3.12,32.5
1963,8,29.7,Y,5.14,29.7
1963,9,12.9,Y,2.16,12.9
1963,10,30.0,Y,3.54,30.0
1963,11,23.5,Y,4.45,23.5
1963,12,13.1,Y,1.12,13.1
1964,1,6.4,Y,0.73,6.4
1964,2,4.8,Y,0.71,4.8
1964,3,0.6,Y,0.02,0.6
1964,4,19.8,Y,1.36,19.8
1964,5,10.0,Y,1.3,10.0
1964,6,28.2,Y,3.02,28.2
1964,7,22.6,Y,3.25,22.6
1964,8,8.7,Y,0.71,8.7
1964,9,15.2,Y,1.77,15.2
1964,10,22.8,Y,4.63,22.8
1964,11,10.6,Y,1.67,10.6
1964,12,18.0,Y,3.87,18.0
1965,1,10.2,Y,1.84,10.2
1965,2,4.0,Y,0.41,4.0
1965,3,5.1,Y,0.75,5.1
1965,4,9.3,Y,1.51,9.3
1965,5,11.2,Y,0.95,11.2
1965,6,17.6,Y,2.49,17.6
1965,7,26.4,Y,3.42,26.4
1965,8,16.0,Y,2.76,16.0
1965,9,24.0,Y,3.63,24.0
1965,10,18.3,Y,1.3,18.3
1965,11,16.6,Y,1.63,16.6
1965,12,17.5,Y,2.78,17.5
1966,1,14.2,Y,1.18,14.2
1966,2,11.6,Y,2.66,11.6
1966,3,16.1,Y,2.51,16.1
1966,4,12.7,Y,1.16,12.7
1966,5,8.4,Y,0.91,8.4
1966,6,12.0,Y,1.58,12.0
1966,7,20.5,Y,1.63,20.5
1966,8,16.4,Y,2.77,16.4
1966,9,9.5,Y,1.63,9.5
1966,10,15.0,Y,2.41,15.0
1966,11,23.1,Y,3.17,23.1
1966,12,21.1,Y,3.7,21.1
1967,1,20.5,Y,2.84,20.5
1967,2,24.5,Y,3.09,24.5
1967,3,14.6,Y,2.09,14.6
1967,4,19.1,Y,1.95,19.1
1967,5,13.5,Y,1.85,13.5
1967,6,12.4,Y,1.41,12.4
1967,7,21.2,Y,1.77,21.2
1967,8,29.2,Y,2.63,29.2
1967,9,17.5,Y,3.03,17.5
1967,10,34.8,Y,7.11,34.8
1967,11,17.5,Y,2.0,17.5
1967,12,24.9,Y,2.35,24.9
1968,1,17.3,Y,2.16,17.3
1968,2,7.0,Y,0.96,7.0
1968,3,10.7,Y,2.13,10.7
1968,4,16.4,Y,1.54,16.4
1968,5,16.1,Y,1.55,16.1
1968,6,10.9,Y,2.0,10.9
1968,7,22.0,Y,1.96,22.0
1968,8,17.0,Y,1.65,17.0
1968,9,41.9,Y,2.95,41.9
1968,10,27.9,Y,3.47,27.9
1968,11,18.3,Y,2.17,18.3
1968,12,21.5,Y,1.75,21.5
1969,1,14.7,Y,3.14,14.7
1969,2,5.1,Y,0.88,5.1
1969,3,10.1,Y,0.54,10.1
1969,4,7.1,Y,1.12,7.1
1969,5,37.0,Y,4.07,37.0
1969,6,21.7,Y,1.47,21.7
1969,7,15.5,Y,1.63,15.5
1969,8,11.9,Y,1.95,11.9
1969,9,12.1,Y,1.78,12.1
1969,10,11.7,Y,0.9,11.7
1969,11,13.0,Y,2.87,13.0
1969,12,11.0,Y,0.87,11.0
1970,1,10.1,Y,0.65,10.1
1970,2,20.1,Y,1.61,20.1
1970,3,19.1,Y,2.09,19.1
1970,4,10.8,Y,2.05,10.8
